   FROM                   TO     CKT  DISTANCE    TYPE X------I ZERO------X  X----I POSITIVE----X  X----I NEGATIVE----X
                                                       X------PHASE A-----X  X------PHASE B-----X  X------PHASE C-----X
     17                                            L-G     0.1787   -2.1528      0.1787   -2.1528      0.1787   -2.1528
 ['SISKIN2'   69.000]                                      6.4805  -85.2536      0.0000    0.0000      0.0000    0.0000

      2                                          L-L-G    -6.8267   26.2467     11.2386  -39.9849     -4.4119   13.7382
 ['SHIFT'     161.00]                                      0.0000    0.0000     62.3605  155.5446     64.1683   55.5648

      4                                          L-L-G    -1.0097    3.9271      3.8249  -12.4232     -2.8151    8.4961
 ['LARK'      161.00]                                      0.0000    0.0000     19.6317  179.5910     20.2766   35.0374

      2                                            L-G     5.9313  -21.2944      5.9313  -21.2944      5.9313  -21.2944
 ['SHIFT'     161.00]                                     66.3151  -74.4356      0.0000    0.0000      0.0000    0.0000

      4                                            L-G     1.3999   -5.0283      1.3999   -5.0283      1.3999   -5.0283
 ['LARK'      161.00]                                     15.6587  -74.4429      0.0000    0.0000      0.0000    0.0000

      2                                          L-L-G    -0.0001    0.0001      7.8253  -26.8616     -7.8252   26.8616
 ['SHIFT'     161.00]                                      0.0000    0.0000     48.4598 -163.7584     48.4595   16.2419

      4                                          L-L-G    -0.0001    0.0001      3.3201  -10.4597     -3.3200   10.4596
 ['LARK'      161.00]                                      0.0000    0.0000     19.0075 -162.3905     19.0073   17.6105

      2                                            L-G     5.9313  -21.2944      5.9313  -21.2944      5.9313  -21.2944
 ['SHIFT'     161.00]                                     66.3151  -74.4356      0.0000    0.0000      0.0000    0.0000

      4                                            L-G     1.3999   -5.0283      1.3999   -5.0283      1.3999   -5.0283
 ['LARK'      161.00]                                     15.6587  -74.4429      0.0000    0.0000      0.0000    0.0000

      2                                            L-G     5.9313  -21.2944      5.9313  -21.2944      5.9313  -21.2944
 ['SHIFT'     161.00]                                     66.3151  -74.4356      0.0000    0.0000      0.0000    0.0000

      4                                            L-G     1.3999   -5.0283      1.3999   -5.0283      1.3999   -5.0283
 ['LARK'      161.00]                                     15.6587  -74.4429      0.0000    0.0000      0.0000    0.0000

      2                                          3-PHAS    0.0000   -0.0000     15.6505  -53.7232     -0.0000    0.0000
 ['SHIFT'     161.00]                                     55.9564  -73.7583     55.9564  166.2418     55.9564   46.2418

      2                                          3-PHAS    0.0000   -0.0000     15.6505  -53.7232     -0.0000    0.0000
 ['SHIFT'     161.00]                                     55.9564  -73.7583     55.9564  166.2418     55.9564   46.2418

      2                                          3-PHAS    0.0000   -0.0000     15.6505  -53.7232     -0.0000    0.0000
 ['SHIFT'     161.00]                                     55.9564  -73.7583     55.9564  166.2418     55.9564   46.2418

      4                                          3-PHAS    0.0000   -0.0000      6.6400  -20.9193     -0.0000    0.0000
 ['LARK'      161.00]                                     21.9478  -72.3900     21.9478  167.6101     21.9478   47.6100

      4                                          3-PHAS    0.0000   -0.0000      6.6400  -20.9193     -0.0000    0.0000
 ['LARK'      161.00]                                     21.9478  -72.3900     21.9478  167.6101     21.9478   47.6100

